Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r
Eventual Nominee (D) vs Eventual Nominee (R),MI-11,Eventual Nominee,Eventual Nominee,D+27.7,-27.7,Safe D,100,N,0
Rashida Tlaib (D) vs Eventual Nominee (R),MI-12,Rashida Tlaib,Eventual Nominee,D+52.4,-52.4,Safe D,100,N,0
Shri Thanedar (D) vs Eventual Nominee (R),MI-13,Shri Thanedar,Eventual Nominee,D+56.2,-56.2,Safe D,100,N,0
Jake Johnson (D) vs Brad Finstad (R),MN-01,Jake Johnson,Brad Finstad,R+10.2,10.2,Likely R,6,N,94
Eventual Nominee (D) vs Eric Pratt (R),MN-02,Eventual Nominee,Eric Pratt,D+13.5,-13.5,Safe D,97,N,3
Kelly Morrison (D) vs Eventual Nominee (R),MN-03,Kelly Morrison,Eventual Nominee,D+30.8,-30.8,Safe D,100,N,0
Betty McCollum (D) vs Eventual Nominee (R),MN-04,Betty McCollum,Eventual Nominee,D+44.8,-44.8,Safe D,100,N,0
Ilhan Omar (D) vs Eventual Nominee (R),MN-05,Ilhan Omar,Eventual Nominee,D+62.5,-62.5,Safe D,100,N,0
Eventual Nominee (D) vs Tom Emmer (R),MN-06,Eventual Nominee,Tom Emmer,R+21.4,21.4,Safe R,0,N,100
Eventual Nominee (D) vs Michelle Fischbach (R),MN-07,Eventual Nominee,Michelle Fischbach,R+37.1,37.1,Safe R,0,N,100
Eventual Nominee (D) vs Pete Stauber (R),MN-08,Eventual Nominee,Pete Stauber,R+15.6,15.6,Safe R,1,N,99
Wesley Bell (D) vs Eventual Nominee (R),MO-01,Wesley Bell,Eventual Nominee,D+72.8,-72.8,Safe D,100,N,0
Eventual Nominee (D) vs Ann Wagner (R),MO-02,Eventual Nominee,Ann Wagner,R+6.4,6.4,Likely R,17,N,83
Eventual Nominee (D) vs Bob Onder (R),MO-03,Eventual Nominee,Bob Onder,R+17.3,17.3,Safe R,1,N,99
Eventual Nominee (D) vs Mark Alford (R),MO-04,Eventual Nominee,Mark Alford,R+20.0,20,Safe R,0,N,100
Emanuel Cleaver (D) vs Eventual Nominee (R),MO-05,Emanuel Cleaver,Eventual Nominee,R+7.4,7.4,Likely R,13,Y,87
Eventual Nominee (D) vs Eventual Nominee (R),MO-06,Eventual Nominee,Eventual Nominee,R+18.7,18.7,Safe R,1,N,99
Missi Hesketh (D) vs Eric Burlison (R),MO-07,Missi Hesketh,Eric Burlison,R+40.7,40.7,Safe R,0,N,100
Eventual Nominee (D) vs Jason Smith (R),MO-08,Eventual Nominee,Jason Smith,R+51.1,51.1,Safe R,0,N,100
Cliff Johnson (D) vs Trent Kelly (R),MS-01,Cliff Johnson,Trent Kelly,R+33.2,33.2,Safe R,0,N,100
Bennie Thompson (D) vs Ron Eller (R),MS-02,Bennie Thompson,Ron Eller,D+34.2,-34.2,Safe D,100,N,0
Michael Chiaradio (D) vs Michael Guest (R),MS-03,Michael Chiaradio,Michael Guest,R+29.7,29.7,Safe R,0,N,100
Jeffrey Hulum III (D) vs Mike Ezell (R),MS-04,Jeffrey Hulum III,Mike Ezell,R+42.1,42.1,Safe R,0,N,100
Sam Forstag (D) vs Aaron Flint (R),MT-01,Sam Forstag,Aaron Flint,R+4.9,4.9,Lean R,23,N,77
Brian Miller (D) vs Troy Downing (R),MT-02,Brian Miller,Troy Downing,R+28.3,28.3,Safe R,0,N,100
Don Davis (D) vs Laurie Buckhout (R),NC-01,Don Davis,Laurie Buckhout,D+1.1,-1.1,Tossup,56,N,44
Deborah Ross (D) vs Eugene Douglass (R),NC-02,Deborah Ross,Eugene Douglass,D+46.9,-46.9,Safe D,100,N,0
Raymond Smith Jr. (D) vs Greg Murphy (R),NC-03,Raymond Smith Jr.,Greg Murphy,R+11.3,11.3,Safe R,5,N,95
Valerie Foushee (D) vs Max Ganorkar (R),NC-04,Valerie Foushee,Max Ganorkar,D+58.4,-58.4,Safe D,100,N,0
Chuck Hubbard (D) vs Virginia Foxx (R),NC-05,Chuck Hubbard,Virginia Foxx,R+12.7,12.7,Safe R,3,N,97
Cyril Jefferson (D) vs Addison McDowell (R),NC-06,Cyril Jefferson,Addison McDowell,R+15.1,15.1,Safe R,2,N,98
Kimberly Hardy (D) vs David Rouzer (R),NC-07,Kimberly Hardy,David Rouzer,R+10.6,10.6,Likely R,6,N,94
Colby Watson (D) vs Mark Harris (R),NC-08,Colby Watson,Mark Harris,R+15.8,15.8,Safe R,1,N,99
Richard Ojeda (D) vs Richard Hudson (R),NC-09,Richard Ojeda,Richard Hudson,R+9.3,9.3,Likely R,8,N,92
Ashley Bell (D) vs Pat Harrigan (R),NC-10,Ashley Bell,Pat Harrigan,R+15.1,15.1,Safe R,2,N,98
Jamie Ager (D) vs Chuck Edwards (R),NC-11,Jamie Ager,Chuck Edwards,R+4.1,4.1,Lean R,27,N,73
Alma Adams (D) vs Jack Codiga (R),NC-12,Alma Adams,Jack Codiga,D+55.6,-55.6,Safe D,100,N,0
Paul Barringer (D) vs Brad Knott (R),NC-13,Paul Barringer,Brad Knott,R+10.1,10.1,Likely R,7,N,93
Lakesha Womack (D) vs Tim Moore (R),NC-14,Lakesha Womack,Tim Moore,R+12.1,12.1,Safe R,4,N,96
Trygve Hammer (D) vs Julie Fedorchak (R),ND-AL,Trygve Hammer,Julie Fedorchak,R+36.8,36.8,Safe R,0,N,100
Chris Backemeyer (D) vs Mike Flood (R),NE-01,Chris Backemeyer,Mike Flood,R+9.3,9.3,Likely R,9,N,91
Denise Powell (D) vs Brinker Harding (R),NE-02,Denise Powell,Brinker Harding,D+11.5,-11.5,Safe D,95,Y,5
Becky Stille (D) vs Adrian Smith (R),NE-03,Becky Stille,Adrian Smith,R+54.4,54.4,Safe R,0,N,100
Eventual Nominee (D) vs Eventual Nominee (R),NH-01,Eventual Nominee,Eventual Nominee,D+9.4,-9.4,Likely D,92,N,8
Maggie Goodlander (D) vs Lily Tang Williams (R),NH-02,Maggie Goodlander,Lily Tang Williams,D+15.9,-15.9,Safe D,98,N,2
Donald Norcross (D) vs Damon Galdo (R),NJ-01,Donald Norcross,Damon Galdo,D+32.4,-32.4,Safe D,100,N,0
Zack Mullock (D) vs Jeff Van Drew (R),NJ-02,Zack Mullock,Jeff Van Drew,R+7.9,7.9,Likely R,12,N,88
Herb Conaway (D) vs Michael McGuire (R),NJ-03,Herb Conaway,Michael McGuire,D+20.5,-20.5,Safe D,100,N,0
Rachel Peace (D) vs Chris Smith (R),NJ-04,Rachel Peace,Chris Smith,R+29.8,29.8,Safe R,0,N,100
Josh Gottheimer (D) vs Sean Kirrane (R),NJ-05,Josh Gottheimer,Sean Kirrane,D+18.6,-18.6,Safe D,100,N,0
Frank Pallone (D) vs Hillary Herzig (R),NJ-06,Frank Pallone,Hillary Herzig,D+23.1,-23.1,Safe D,100,N,0
Rebecca Bennett (D) vs Tom Kean (R),NJ-07,Rebecca Bennett,Tom Kean,D+4.3,-4.3,Lean D,74,Y,26
Rob Menendez (D) vs Eventual Nominee (R),NJ-08,Rob Menendez,Eventual Nominee,D+40.0,-40,Safe D,100,N,0
Nellie Pou (D) vs Rosie Pino (R),NJ-09,Nellie Pou,Rosie Pino,D+15.4,-15.4,Safe D,99,N,1
LaMonica McIver (D) vs Carmen Bucco (R),NJ-10,LaMonica McIver,Carmen Bucco,D+64.3,-64.3,Safe D,100,N,0
Analilia Mejia (D) vs Joe Hathaway (R),NJ-11,Analilia Mejia,Joe Hathaway,D+23.4,-23.4,Safe D,100,N,0
Adam Hamawy (D) vs Gregg Mele (R),NJ-12,Adam Hamawy,Gregg Mele,D+35.7,-35.7,Safe D,100,N,0
Melanie Stansbury (D) vs Didi Okpareke (R),NM-01,Melanie Stansbury,Didi Okpareke,D+27.6,-27.6,Safe D,100,N,0
Gabe Vasquez (D) vs Greg Cunningham (R),NM-02,Gabe Vasquez,Greg Cunningham,D+12.9,-12.9,Safe D,97,N,3
Teresa Leger Fernandez (D) vs Martin Zamora (R),NM-03,Teresa Leger Fernandez,Martin Zamora,D+23.4,-23.4,Safe D,100,N,0
Dina Titus (D) vs Eventual Nominee (R),NV-01,Dina Titus,Eventual Nominee,D+15.6,-15.6,Safe D,99,N,1
Eventual Nominee (D) vs Eventual Nominee (R),NV-02,Eventual Nominee,Eventual Nominee,R+8.1,8.1,Likely R,11,N,89
Susie Lee (D) vs Eventual Nominee (R),NV-03,Susie Lee,Eventual Nominee,D+11.9,-11.9,Safe D,96,N,4
Steven Horsford (D) vs Eventual Nominee (R),NV-04,Steven Horsford,Eventual Nominee,D+15.4,-15.4,Safe D,99,N,1
Christopher Gallant (D) vs Nick LaLota (R),NY-01,Christopher Gallant,Nick LaLota,R+5.4,5.4,Lean R,21,N,79
Patrick Halpin (D) vs Andrew Garbarino (R),NY-02,Patrick Halpin,Andrew Garbarino,R+11.4,11.4,Safe R,5,N,95
Tom Suozzi (D) vs Michael LiPetri (R),NY-03,Tom Suozzi,Michael LiPetri,D+7.2,-7.2,Likely D,86,N,14
Laura Gillen (D) vs Jeanine Driscoll (R),NY-04,Laura Gillen,Jeanine Driscoll,D+14.2,-14.2,Safe D,98,N,2
Greg Meeks (D) vs George Marsh (R),NY-05,Greg Meeks,George Marsh,D+52.2,-52.2,Safe D,100,N,0
Grace Meng (D) vs Joseph Chou (R),NY-06,Grace Meng,Joseph Chou,D+24.3,-24.3,Safe D,100,N,0
Claire Valdez (D) vs Melvin Rivera (R),NY-07,Claire Valdez,Melvin Rivera,D+56.1,-56.1,Safe D,100,N,0
Hakeem Jeffries (D) vs Lewis Mizrahi (R),NY-08,Hakeem Jeffries,Lewis Mizrahi,D+57.1,-57.1,Safe D,100,N,0
Yvette Clarke (D) vs Joel Anabilah-Azumah (R),NY-09,Yvette Clarke,Joel Anabilah-Azumah,D+54.9,-54.9,Safe D,100,N,0
Brad Lander (D) vs Jennifer Moore (R),NY-10,Brad Lander,Jennifer Moore,D+69.8,-69.8,Safe D,100,N,0
Michael DeCillis (D) vs Nicole Malliotakis (R),NY-11,Michael DeCillis,Nicole Malliotakis,R+23.6,23.6,Safe R,0,N,100
Micah Lasher (D) vs Caroline Shinkle (R),NY-12,Micah Lasher,Caroline Shinkle,D+72.5,-72.5,Safe D,100,N,0
Darializa Chevalier (D) vs Jomo Williams (R),NY-13,Darializa Chevalier,Jomo Williams,D+69.9,-69.9,Safe D,100,N,0
Alexandria Ocasio-Cortez (D) vs Diamant Hysenaj (R),NY-14,Alexandria Ocasio-Cortez,Diamant Hysenaj,D+42.3,-42.3,Safe D,100,N,0
Ritchie Torres (D) vs Stylo Sapaskis (R),NY-15,Ritchie Torres,Stylo Sapaskis,D+66.5,-66.5,Safe D,100,N,0
George Latimer (D) vs Joseph Cinquemani (R),NY-16,George Latimer,Joseph Cinquemani,D+49.1,-49.1,Safe D,100,N,0
Cait Conley (D) vs Mike Lawler (R),NY-17,Cait Conley,Mike Lawler,D+3.3,-3.3,Lean D,68,Y,32
Pat Ryan (D) vs Jacqueline Auringer (R),NY-18,Pat Ryan,Jacqueline Auringer,D+19.1,-19.1,Safe D,100,N,0
Josh Riley (D) vs Pete Oberacker (R),NY-19,Josh Riley,Pete Oberacker,D+13.5,-13.5,Safe D,98,N,2
Paul Tonko (D) vs Ralph Ambrosio (R),NY-20,Paul Tonko,Ralph Ambrosio,D+28.6,-28.6,Safe D,100,N,0
Blake Gendebien (D) vs Anthony Constantino (R),NY-21,Blake Gendebien,Anthony Constantino,R+13.1,13.1,Safe R,3,N,97
John Mannion (D) vs Kailee Buller (R),NY-22,John Mannion,Kailee Buller,D+19.5,-19.5,Safe D,100,N,0
Aaron Gies (D) vs Nick Langworthy (R),NY-23,Aaron Gies,Nick Langworthy,R+22.1,22.1,Safe R,0,N,100
Alissa Ellman (D) vs Claudia Tenney (R),NY-24,Alissa Ellman,Claudia Tenney,R+22.0,22,Safe R,0,N,100
Joseph Morelle (D) vs Virginia McIntyre (R),NY-25,Joseph Morelle,Virginia McIntyre,D+30.5,-30.5,Safe D,100,N,0
Tim Kennedy (D) vs Dennis Hannon (R),NY-26,Tim Kennedy,Dennis Hannon,D+34.7,-34.7,Safe D,100,N,0
Greg Landsman (D) vs Eric Conroy (R),OH-01,Greg Landsman,Eric Conroy,D+10.9,-10.9,Likely D,94,N,6
Jennifer Mazzuckelli (D) vs David Taylor (R),OH-02,Jennifer Mazzuckelli,David Taylor,R+38.1,38.1,Safe R,0,N,100
Joyce Beatty (D) vs Cleophus Dulaney (R),OH-03,Joyce Beatty,Cleophus Dulaney,D+54.5,-54.5,Safe D,100,N,0
Joshua Kolasinski (D) vs Jim Jordan (R),OH-04,Joshua Kolasinski,Jim Jordan,R+37.1,37.1,Safe R,0,N,100
Brian Shaver (D) vs Bob Latta (R),OH-05,Brian Shaver,Bob Latta,R+21.4,21.4,Safe R,0,N,100
Elizabeth Kirtley (D) vs Michael Rulli (R),OH-06,Elizabeth Kirtley,Michael Rulli,R+29.6,29.6,Safe R,0,N,100
Brian Poindexter (D) vs Max Miller (R),OH-07,Brian Poindexter,Max Miller,R+7.3,7.3,Likely R,14,N,86
Vanessa Enoch (D) vs Warren Davidson (R),OH-08,Vanessa Enoch,Warren Davidson,R+11.0,11,Safe R,5,N,95
Marcy Kaptur (D) vs Derek Merrin (R),OH-09,Marcy Kaptur,Derek Merrin,D+5.8,-5.8,Likely D,81,N,19
Kristina Knickerbocker (D) vs Mike Turner (R),OH-10,Kristina Knickerbocker,Mike Turner,R+9.5,9.5,Likely R,8,N,92
Shontel Brown (D) vs Mike Kirchner (R),OH-11,Shontel Brown,Mike Kirchner,D+71.5,-71.5,Safe D,100,N,0
Jerrad Christian (D) vs Troy Balderson (R),OH-12,Jerrad Christian,Troy Balderson,R+26.5,26.5,Safe R,0,N,100
Emilia Sykes (D) vs Carey Coleman (R),OH-13,Emilia Sykes,Carey Coleman,D+20.0,-20,Safe D,100,N,0
Maria Jukic (D) vs David Joyce (R),OH-14,Maria Jukic,David Joyce,R+18.9,18.9,Safe R,0,N,100
Don Leonard (D) vs Mike Carey (R),OH-15,Don Leonard,Mike Carey,R+3.5,3.5,Lean R,31,N,69
John Croisant (D) vs Eventual Nominee (R),OK-01,John Croisant,Eventual Nominee,R+17.2,17.2,Safe R,1,N,99
Brandon Wade (D) vs Josh Brecheen (R),OK-02,Brandon Wade,Josh Brecheen,R+47.1,47.1,Safe R,0,N,100
Suzie Byrd (D) vs Frank Lucas (R),OK-03,Suzie Byrd,Frank Lucas,R+42.9,42.9,Safe R,0,N,100
Mitchell Jacob (D) vs Tom Cole (R),OK-04,Mitchell Jacob,Tom Cole,R+31.0,31,Safe R,0,N,100
Jena Nelson (D) vs Stephanie Bice (R),OK-05,Jena Nelson,Stephanie Bice,R+12.4,12.4,Safe R,4,N,96
Suzanne Bonamici (D) vs Barbara Kahl (R),OR-01,Suzanne Bonamici,Barbara Kahl,D+51.3,-51.3,Safe D,100,N,0
Chris Beck (D) vs Cliff Bentz (R),OR-02,Chris Beck,Cliff Bentz,R+25.8,25.8,Safe R,0,N,100
Maxine Dexter (D) vs Loran Ayles (R),OR-03,Maxine Dexter,Loran Ayles,D+59.4,-59.4,Safe D,100,N,0
Val Hoyle (D) vs Monique DeSpain (R),OR-04,Val Hoyle,Monique DeSpain,D+18.3,-18.3,Safe D,99,N,1
Janelle Bynum (D) vs Patti Adair (R),OR-05,Janelle Bynum,Patti Adair,D+21.6,-21.6,Safe D,100,N,0
Andrea Salinas (D) vs David Russ (R),OR-06,Andrea Salinas,David Russ,D+22.7,-22.7,Safe D,100,N,0
Bob Harvie (D) vs Brian Fitzpatrick (R),PA-01,Bob Harvie,Brian Fitzpatrick,D+1.7,-1.7,Lean D,60,Y,40
Brendan Boyle (D) vs Jessica Arriaga (R),PA-02,Brendan Boyle,Jessica Arriaga,D+54.2,-54.2,Safe D,100,N,0
Chris Rabb (D) vs Eventual Nominee (R),PA-03,Chris Rabb,Eventual Nominee,D+89.6,-89.6,Safe D,100,N,0
Madeleine Dean (D) vs Aurora Stuski (R),PA-04,Madeleine Dean,Aurora Stuski,D+31.5,-31.5,Safe D,100,N,0
Mary Gay Scanlon (D) vs Nicholas Manganaro (R),PA-05,Mary Gay Scanlon,Nicholas Manganaro,D+43.8,-43.8,Safe D,100,N,0
Chrissy Houlahan (D) vs Marty Young (R),PA-06,Chrissy Houlahan,Marty Young,D+27.0,-27,Safe D,100,N,0
Bob Brooks (D) vs Ryan Mackenzie (R),PA-07,Bob Brooks,Ryan Mackenzie,D+3.9,-3.9,Lean D,72,Y,28
Paige Cognetti (D) vs Rob Bresnahan (R),PA-08,Paige Cognetti,Rob Bresnahan,R+0.2,0.2,Tossup,49,N,51
Rachel Wallace (D) vs Dan Meuser (R),PA-09,Rachel Wallace,Dan Meuser,R+29.8,29.8,Safe R,0,N,100
Janelle Stelson (D) vs Scott Perry (R),PA-10,Janelle Stelson,Scott Perry,D+8.1,-8.1,Likely D,87,Y,13
Nancy Mannion (D) vs Lloyd Smucker (R),PA-11,Nancy Mannion,Lloyd Smucker,R+16.4,16.4,Safe R,1,N,99
Summer Lee (D) vs James Hayes (R),PA-12,Summer Lee,James Hayes,D+29.4,-29.4,Safe D,100,N,0
Beth Farnham (D) vs John Joyce (R),PA-13,Beth Farnham,John Joyce,R+41.0,41,Safe R,0,N,100
Alan Bradstock (D) vs Guy Reschenthaler (R),PA-14,Alan Bradstock,Guy Reschenthaler,R+27.2,27.2,Safe R,0,N,100
Ray Bilger (D) vs Glenn Thompson (R),PA-15,Ray Bilger,Glenn Thompson,R+33.7,33.7,Safe R,0,N,100
Justin Wagner (D) vs Mike Kelly (R),PA-16,Justin Wagner,Mike Kelly,R+17.4,17.4,Safe R,1,N,99
Chris Deluzio (D) vs Tony Guy (R),PA-17,Chris Deluzio,Tony Guy,D+22.2,-22.2,Safe D,100,N,0
Gabe Amo (D) vs Eventual Nominee (R),RI-01,Gabe Amo,Eventual Nominee,D+38.7,-38.7,Safe D,100,N,0
Seth Magaziner (D) vs Eventual Nominee (R),RI-02,Seth Magaziner,Eventual Nominee,D+18.7,-18.7,Safe D,99,N,1
Nancy Lacore (D) vs Jenny Costa Honeycutt (R),SC-01,Nancy Lacore,Jenny Costa Honeycutt,R+9.4,9.4,Likely R,8,N,92
Zyon Khalifa (D) vs Joe Wilson (R),SC-02,Zyon Khalifa,Joe Wilson,R+15.2,15.2,Safe R,2,N,98
Eunice Lehmacher (D) vs Sheri Biggs (R),SC-03,Eunice Lehmacher,Sheri Biggs,R+43.2,43.2,Safe R,0,N,100
Courtney McClain (D) vs William Timmons (R),SC-04,Courtney McClain,William Timmons,R+24.1,24.1,Safe R,0,N,100
Mallory Dittmer (D) vs Wes Climer (R),SC-05,Mallory Dittmer,Wes Climer,R+21.2,21.2,Safe R,0,N,100
Jim Clyburn (D) vs John Peterson (R),SC-06,Jim Clyburn,John Peterson,D+32.0,-32,Safe D,100,N,0
John Vincent (D) vs Russell Fry (R),SC-07,John Vincent,Russell Fry,R+28.3,28.3,Safe R,0,N,100
Nikki Gronli (D) vs Marty Jackley (R),SD-AL,Nikki Gronli,Marty Jackley,R+25.4,25.4,Safe R,0,N,100
Eventual Nominee (D) vs Diana Harshbarger (R),TN-01,Eventual Nominee,Diana Harshbarger,R+53.4,53.4,Safe R,0,N,100
Michaela Barnett (D) vs Tim Burchett (R),TN-02,Michaela Barnett,Tim Burchett,R+31.6,31.6,Safe R,0,N,100
Anna Golladay (D) vs Chuck Fleischmann (R),TN-03,Anna Golladay,Chuck Fleischmann,R+32.2,32.2,Safe R,0,N,100
Victoria Broderick (D) vs Scott DesJarlais (R),TN-04,Victoria Broderick,Scott DesJarlais,R+16.7,16.7,Safe R,1,N,99
Eventual Nominee (D) vs Andy Ogles (R),TN-05,Eventual Nominee,Andy Ogles,R+15.9,15.9,Safe R,1,N,99
Eventual Nominee (D) vs Eventual Nominee (R),TN-06,Eventual Nominee,Eventual Nominee,R+20.5,20.5,Safe R,0,N,100
Joshua Sales (D) vs Matt Van Epps (R),TN-07,Joshua Sales,Matt Van Epps,R+16.7,16.7,Safe R,1,N,99
Eventual Nominee (D) vs David Kustoff (R),TN-08,Eventual Nominee,David Kustoff,R+18.5,18.5,Safe R,1,N,99
Justin Pearson (D) vs Eventual Nominee (R),TN-09,Justin Pearson,Eventual Nominee,R+12.3,12.3,Safe R,4,Y,96
Yolanda Prince (D) vs Nathaniel Moran (R),TX-01,Yolanda Prince,Nathaniel Moran,R+46.1,46.1,Safe R,0,N,100
Shaun Finnie (D) vs Steve Toth (R),TX-02,Shaun Finnie,Steve Toth,R+12.3,12.3,Safe R,4,N,96
Evan Hunt (D) vs Keith Self (R),TX-03,Evan Hunt,Keith Self,R+16.3,16.3,Safe R,1,N,99
Jason Pearce (D) vs Pat Fallon (R),TX-04,Jason Pearce,Pat Fallon,R+20.5,20.5,Safe R,0,N,100
Chelsey Hockett (D) vs Lance Gooden (R),TX-05,Chelsey Hockett,Lance Gooden,R+16.0,16,Safe R,1,N,99
Danny Minton (D) vs Jake Ellzey (R),TX-06,Danny Minton,Jake Ellzey,R+17.5,17.5,Safe R,1,N,99
Lizzie Fletcher (D) vs Alexander Hale (R),TX-07,Lizzie Fletcher,Alexander Hale,D+39.5,-39.5,Safe D,100,N,0
Laura Jones (D) vs Jessica Hart Steinmann (R),TX-08,Laura Jones,Jessica Hart Steinmann,R+19.7,19.7,Safe R,0,N,100
Leticia Gutierrez (D) vs Alex Mealer (R),TX-09,Leticia Gutierrez,Alex Mealer,R+11.8,11.8,Safe R,4,Y,96
Caitlin Rourk (D) vs Chris Gober (R),TX-10,Caitlin Rourk,Chris Gober,R+15.1,15.1,Safe R,1,N,99
Claire Reynolds (D) vs August Pfluger (R),TX-11,Claire Reynolds,August Pfluger,R+29.5,29.5,Safe R,0,N,100
Angela Rodriguez (D) vs Craig Goldman (R),TX-12,Angela Rodriguez,Craig Goldman,R+20.2,20.2,Safe R,0,N,100
Mark Nair (D) vs Ronny Jackson (R),TX-13,Mark Nair,Ronny Jackson,R+39.6,39.6,Safe R,0,N,100
Thurman Bartie (D) vs Randy Weber (R),TX-14,Thurman Bartie,Randy Weber,R+19.8,19.8,Safe R,0,N,100
Bobby Pulido (D) vs Monica De La Cruz (R),TX-15,Bobby Pulido,Monica De La Cruz,R+3.6,3.6,Lean R,29,N,71
Veronica Escobar (D) vs Adam Bauman (R),TX-16,Veronica Escobar,Adam Bauman,D+32.1,-32.1,Safe D,100,N,0
Casey Shepard (D) vs Pete Sessions (R),TX-17,Casey Shepard,Pete Sessions,R+17.0,17,Safe R,1,N,99
Christian Menefee (D) vs Ronald Whitfield (R),TX-18,Christian Menefee,Ronald Whitfield,D+70.7,-70.7,Safe D,100,N,0
Kyle Rable (D) vs Tom Sell (R),TX-19,Kyle Rable,Tom Sell,R+43.8,43.8,Safe R,0,N,100
Joaquin Castro (D) vs Edgardo Rafael Baez (R),TX-20,Joaquin Castro,Edgardo Rafael Baez,D+45.6,-45.6,Safe D,100,N,0
Kristin Hook (D) vs Mark Teixeira (R),TX-21,Kristin Hook,Mark Teixeira,R+13.1,13.1,Safe R,3,N,97
Marquette Greene-Scott (D) vs Trever Nehls (R),TX-22,Marquette Greene-Scott,Trever Nehls,R+11.5,11.5,Safe R,4,N,96
Katy Padilla Stout (D) vs Brandon Herrera (R),TX-23,Katy Padilla Stout,Brandon Herrera,R+3.7,3.7,Lean R,29,N,71
Kevin Burge (D) vs Beth Van Duyne (R),TX-24,Kevin Burge,Beth Van Duyne,R+11.5,11.5,Safe R,5,N,95
Dione Sims (D) vs Roger Williams (R),TX-25,Dione Sims,Roger Williams,R+17.9,17.9,Safe R,1,N,99
Steven Shook (D) vs Brandon Gill (R),TX-26,Steven Shook,Brandon Gill,R+20.1,20.1,Safe R,0,N,100
Tanya Lloyd (D) vs Michael Cloud (R),TX-27,Tanya Lloyd,Michael Cloud,R+15.9,15.9,Safe R,1,N,99
Henry Cuellar (D) vs Tano Tijerina (R),TX-28,Henry Cuellar,Tano Tijerina,D+8.5,-8.5,Likely D,90,N,10
Sylvia Garcia (D) vs Martha Fierro (R),TX-29,Sylvia Garcia,Martha Fierro,D+50.6,-50.6,Safe D,100,N,0
Frederick Haynes III (D) vs Everett Jackson (R),TX-30,Frederick Haynes III,Everett Jackson,D+56.9,-56.9,Safe D,100,N,0
Justin Early (D) vs John Carter (R),TX-31,Justin Early,John Carter,R+16.9,16.9,Safe R,1,N,99
Dan Barros (D) vs Jace Yarbrough (R),TX-32,Dan Barros,Jace Yarbrough,R+10.2,10.2,Likely R,7,Y,93
Colin Allred (D) vs Patrick Gillespie (R),TX-33,Colin Allred,Patrick Gillespie,D+50.4,-50.4,Safe D,100,N,0
Vicente Gonzalez (D) vs Eric Flores (R),TX-34,Vicente Gonzalez,Eric Flores,D+3.8,-3.8,Lean D,72,N,28
Johnny Garcia (D) vs Carlos De La Cruz (R),TX-35,Johnny Garcia,Carlos De La Cruz,D+0.5,-0.5,Tossup,53,N,47
Rhonda Hart (D) vs Brian Babin (R),TX-36,Rhonda Hart,Brian Babin,R+19.6,19.6,Safe R,0,N,100
Greg Casar (D) vs Lauren Peña (R),TX-37,Greg Casar,Lauren Peña,D+72.1,-72.1,Safe D,100,N,0
Melissa McDonough (D) vs Jon Bonck (R),TX-38,Melissa McDonough,Jon Bonck,R+12.8,12.8,Safe R,3,N,97
Ben McAdams (D) vs Riley Owen (R),UT-01,Ben McAdams,Riley Owen,D+35.5,-35.5,Safe D,100,Y,0
Peter Crosby (D) vs Blake Moore (R),UT-02,Peter Crosby,Blake Moore,R+26.8,26.8,Safe R,0,N,100
Kent Udell (D) vs Celeste Maloy (R),UT-03,Kent Udell,Celeste Maloy,R+37.3,37.3,Safe R,0,N,100
Jonny Larsen (D) vs Mike Kennedy (R),UT-04,Jonny Larsen,Mike Kennedy,R+32.5,32.5,Safe R,0,N,100
Eventual Nominee (D) vs Rob Wittman (R),VA-01,Eventual Nominee,Rob Wittman,R+1.3,1.3,Tossup,43,N,57
Eventual Nominee (D) vs Jen Kiggans (R),VA-02,Eventual Nominee,Jen Kiggans,D+5.0,-5,Lean D,78,Y,22
Bobby Scott (D) vs Eventual Nominee (R),VA-03,Bobby Scott,Eventual Nominee,D+46.7,-46.7,Safe D,100,N,0
Jennifer McClellan (D) vs Eventual Nominee (R),VA-04,Jennifer McClellan,Eventual Nominee,D+46.5,-46.5,Safe D,100,N,0
Tom Perriello (D) vs John McGuire (R),VA-05,Tom Perriello,John McGuire,R+7.9,7.9,Likely R,11,N,89
Eventual Nominee (D) vs Ben Cline (R),VA-06,Eventual Nominee,Ben Cline,R+19.0,19,Safe R,1,N,99
Eugene Vindman (D) vs Eventual Nominee (R),VA-07,Eugene Vindman,Eventual Nominee,D+14.8,-14.8,Safe D,98,N,2
Don Beyer (D) vs Eventual Nominee (R),VA-08,Don Beyer,Eventual Nominee,D+60.5,-60.5,Safe D,100,N,0
Eventual Nominee (D) vs Morgan Griffith (R),VA-09,Eventual Nominee,Morgan Griffith,R+40.6,40.6,Safe R,0,N,100
Suhas Subramanyam (D) vs Eventual Nominee (R),VA-10,Suhas Subramanyam,Eventual Nominee,D+20.2,-20.2,Safe D,100,N,0
James Walkinshaw (D) vs Eventual Nominee (R),VA-11,James Walkinshaw,Eventual Nominee,D+47.6,-47.6,Safe D,100,N,0
Becca Balint (D) vs Mark Coester (R),VT-AL,Becca Balint,Mark Coester,D+45.1,-45.1,Safe D,100,N,0
Suzan DelBene (D) vs Eventual Nominee (R),WA-01,Suzan DelBene,Eventual Nominee,D+38.4,-38.4,Safe D,100,N,0
